"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
0,2,3,6,9,8,7,7,5,3,3,5,3,1,3,3,2,4,5,2,3,2,2,2,1
0,2,3,6,9,9,7,6,6,6,2,4,4,2,1,3,1,3,3,1,2,3,0,1,2
0,2,5,6,10,8,7,7,5,4,3,3,3,1,2,2,4,0,2,2,4,2,1,1,1
0,1,5,7,10,7,8,8,4,4,4,3,6,1,1,2,2,2,2,2,3,2,2,0,1
0,2,5,6,7,8,7,7,6,4,3,5,4,3,2,3,2,3,2,2,2,2,2,0,2
0,1,5,6,9,8,8,7,5,5,4,2,3,3,2,2,2,2,2,2,1,4,1,0,2
0,2,5,8,12,10,7,6,6,4,3,3,4,3,3,2,2,3,3,3,3,3,2,1,1
0,1,5,6,9,9,8,7,6,6,2,4,3,2,3,3,2,2,3,3,1,3,2,2,0
0,2,5,7,9,9,6,7,6,6,5,3,3,3,2,2,4,3,2,3,3,2,1,1,1
0,1,5,6,10,8,7,7,6,5,4,4,4,3,3,4,3,3,2,2,3,4,2,2,0
